symbol,open_time,close_time,available_at_assumed,open,high,low,close,volume
BTCUSDT,2025-01-01T00:00:00+00:00,2025-01-01T23:59:59.999000+00:00,2025-01-02T00:00:00.999000+00:00,93576.0,95151.15,92888.0,94591.79,10373.32613
BTCUSDT,2025-01-02T00:00:00+00:00,2025-01-02T23:59:59.999000+00:00,2025-01-03T00:00:00.999000+00:00,94591.78,97839.5,94392.0,96984.79,21970.48948
BTCUSDT,2025-01-03T00:00:00+00:00,2025-01-03T23:59:59.999000+00:00,2025-01-04T00:00:00.999000+00:00,96984.79,98976.91,96100.01,98174.18,15253.82936
BTCUSDT,2025-01-04T00:00:00+00:00,2025-01-04T23:59:59.999000+00:00,2025-01-05T00:00:00.999000+00:00,98174.17,98778.43,97514.79,98220.5,8990.05651
BTCUSDT,2025-01-05T00:00:00+00:00,2025-01-05T23:59:59.999000+00:00,2025-01-06T00:00:00.999000+00:00,98220.51,98836.85,97276.79,98363.61,8095.63723
BTCUSDT,2025-01-06T00:00:00+00:00,2025-01-06T23:59:59.999000+00:00,2025-01-07T00:00:00.999000+00:00,98363.61,102480.0,97920.0,102235.6,25263.43375
BTCUSDT,2025-01-07T00:00:00+00:00,2025-01-07T23:59:59.999000+00:00,2025-01-08T00:00:00.999000+00:00,102235.6,102724.38,96181.81,96954.61,32059.87537
BTCUSDT,2025-01-08T00:00:00+00:00,2025-01-08T23:59:59.999000+00:00,2025-01-09T00:00:00.999000+00:00,96954.6,97268.65,92500.9,95060.61,33704.67894
BTCUSDT,2025-01-09T00:00:00+00:00,2025-01-09T23:59:59.999000+00:00,2025-01-10T00:00:00.999000+00:00,95060.61,95382.32,91203.67,92552.49,34544.83685
BTCUSDT,2025-01-10T00:00:00+00:00,2025-01-10T23:59:59.999000+00:00,2025-01-11T00:00:00.999000+00:00,92552.49,95836.0,92206.02,94726.11,31482.86424
BTCUSDT,2025-01-11T00:00:00+00:00,2025-01-11T23:59:59.999000+00:00,2025-01-12T00:00:00.999000+00:00,94726.1,95050.94,93831.73,94599.99,7047.9043
BTCUSDT,2025-01-12T00:00:00+00:00,2025-01-12T23:59:59.999000+00:00,2025-01-13T00:00:00.999000+00:00,94599.99,95450.1,93711.19,94545.06,8606.86622
BTCUSDT,2025-01-13T00:00:00+00:00,2025-01-13T23:59:59.999000+00:00,2025-01-14T00:00:00.999000+00:00,94545.07,95940.0,89256.69,94536.1,42619.56423
BTCUSDT,2025-01-14T00:00:00+00:00,2025-01-14T23:59:59.999000+00:00,2025-01-15T00:00:00.999000+00:00,94536.11,97371.0,94346.22,96560.86,27846.61753
BTCUSDT,2025-01-15T00:00:00+00:00,2025-01-15T23:59:59.999000+00:00,2025-01-16T00:00:00.999000+00:00,96560.85,100681.94,96500.0,100497.35,30509.99179
BTCUSDT,2025-01-16T00:00:00+00:00,2025-01-16T23:59:59.999000+00:00,2025-01-17T00:00:00.999000+00:00,100497.35,100866.66,97335.13,99987.3,27832.85317
BTCUSDT,2025-01-17T00:00:00+00:00,2025-01-17T23:59:59.999000+00:00,2025-01-18T00:00:00.999000+00:00,99987.3,105865.22,99950.77,104077.48,39171.85292
BTCUSDT,2025-01-18T00:00:00+00:00,2025-01-18T23:59:59.999000+00:00,2025-01-19T00:00:00.999000+00:00,104077.47,104988.88,102277.55,104556.23,24307.82998
BTCUSDT,2025-01-19T00:00:00+00:00,2025-01-19T23:59:59.999000+00:00,2025-01-20T00:00:00.999000+00:00,104556.23,106422.43,99651.6,101331.57,43397.28298
BTCUSDT,2025-01-20T00:00:00+00:00,2025-01-20T23:59:59.999000+00:00,2025-01-21T00:00:00.999000+00:00,101331.57,109588.0,99550.0,102260.01,89529.231732
BTCUSDT,2025-01-21T00:00:00+00:00,2025-01-21T23:59:59.999000+00:00,2025-01-22T00:00:00.999000+00:00,102260.0,107240.81,100119.04,106143.82,45941.02002
BTCUSDT,2025-01-22T00:00:00+00:00,2025-01-22T23:59:59.999000+00:00,2025-01-23T00:00:00.999000+00:00,106143.82,106394.46,103339.12,103706.66,22248.69254
BTCUSDT,2025-01-23T00:00:00+00:00,2025-01-23T23:59:59.999000+00:00,2025-01-24T00:00:00.999000+00:00,103706.66,106850.0,101262.28,103910.34,53953.12031
