ruta_relativa,categoria,estado
00_ORIGINALES/PDFM1000.pdf,FUENTE_RECUPERADA_O_SOLICITUD_ACTUAL,PRESENTE
00_ORIGINALES/PDFM1000v2.pdf,FUENTE_RECUPERADA_O_SOLICITUD_ACTUAL,PRESENTE
00_ORIGINALES/SOLICITUDES_DE_ESTA_TAREA.md,FUENTE_RECUPERADA_O_SOLICITUD_ACTUAL,PRESENTE
00_ORIGINALES/conversacion_recuperada/INDICE_MENSAJES.json,FUENTE_RECUPERADA_O_SOLICITUD_ACTUAL,PRESENTE
00_ORIGINALES/conversacion_recuperada/TRANSCRIPCION_LITERAL.md,FUENTE_RECUPERADA_O_SOLICITUD_ACTUAL,PRESENTE
00_ORIGINALES/conversacion_recuperada/page_001.json,FUENTE_RECUPERADA_O_SOLICITUD_ACTUAL,PRESENTE
00_ORIGINALES/conversacion_recuperada/page_002.json,FUENTE_RECUPERADA_O_SOLICITUD_ACTUAL,PRESENTE
01_CONTEXTO/CAMBIOS_ACTUALES.md,DOCUMENTACION_DE_TRANSFERENCIA,PRESENTE
01_CONTEXTO/DECISIONS.md,DOCUMENTACION_DE_TRANSFERENCIA,PRESENTE
01_CONTEXTO/EQUIPO_Y_ATLAS.md,DOCUMENTACION_DE_TRANSFERENCIA,PRESENTE
01_CONTEXTO/EXPERIMENT_LOG.md,DOCUMENTACION_DE_TRANSFERENCIA,PRESENTE
01_CONTEXTO/KNOWN_ISSUES.md,DOCUMENTACION_DE_TRANSFERENCIA,PRESENTE
01_CONTEXTO/PROJECT_CONTEXT.md,DOCUMENTACION_DE_TRANSFERENCIA,PRESENTE
01_CONTEXTO/ROADMAP.md,DOCUMENTACION_DE_TRANSFERENCIA,PRESENTE
02_EVIDENCIA/AUDITORIA_HISTORICA.md,AUDITORIA_O_DATOS_TRANSCRITOS,PRESENTE
02_EVIDENCIA/AUDITORIA_PDF.md,AUDITORIA_O_DATOS_TRANSCRITOS,PRESENTE
02_EVIDENCIA/COBERTURA.json,AUDITORIA_O_DATOS_TRANSCRITOS,PRESENTE
02_EVIDENCIA/COBERTURA_Y_FALTANTES.md,AUDITORIA_O_DATOS_TRANSCRITOS,PRESENTE
02_EVIDENCIA/EXPERIMENTOS_HISTORICOS.json,AUDITORIA_O_DATOS_TRANSCRITOS,PRESENTE
02_EVIDENCIA/FRAGMENTOS_CODIGO_HISTORICO.json,AUDITORIA_O_DATOS_TRANSCRITOS,PRESENTE
02_EVIDENCIA/MENCIONES_ARCHIVOS.json,AUDITORIA_O_DATOS_TRANSCRITOS,PRESENTE
02_EVIDENCIA/REFERENCIAS_ARCHIVOS_OPACAS.json,AUDITORIA_O_DATOS_TRANSCRITOS,PRESENTE
02_EVIDENCIA/TABLAS_HISTORICAS.json,AUDITORIA_O_DATOS_TRANSCRITOS,PRESENTE
03_ARRANQUE/START_HERE.md,DOCUMENTACION_DE_TRANSFERENCIA,PRESENTE
04_DOCUMENTO/P100_Documento_integral.md,DOCUMENTACION_DE_TRANSFERENCIA,PRESENTE
04_DOCUMENTO/P100_Documento_integral.pdf,DOCUMENTACION_DE_TRANSFERENCIA,PRESENTE
05_CODIGO/v06_foundations/CHANGELOG.md,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/FREEZE_MANIFEST.json,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/README.md,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/TEST_REPORT.md,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/config/example.json,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/freeze_run.log,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/freeze_verify.log,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/p100_foundations/__init__.py,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/p100_foundations/__main__.py,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/p100_foundations/features.py,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/p100_foundations/freeze.py,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/p100_foundations/regimes.py,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/p100_foundations/registry.py,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/p100_foundations/risk.py,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/p100_foundations/strategy.py,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/p100_foundations/temporal.py,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/p100_foundations/validation.py,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/test_run.log,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
05_CODIGO/v06_foundations/tests/test_foundations.py,IMPLEMENTACION_NUEVA_Y_PRUEBAS_ACTUALES,PRESENTE
06_VERIFICACION/CONTROL_DE_ENTREGA.md,VERIFICACION_ACTUAL,PRESENTE
06_VERIFICACION/pdf_checks/PDFM1000_pages.json,VERIFICACION_ACTUAL,PRESENTE
06_VERIFICACION/pdf_checks/PDFM1000v2_pages.json,VERIFICACION_ACTUAL,PRESENTE
06_VERIFICACION/pdf_checks/verification.log,VERIFICACION_ACTUAL,PRESENTE
06_VERIFICACION/pdf_checks/verification_results.json,VERIFICACION_ACTUAL,PRESENTE
06_VERIFICACION/pdf_checks/verify_pdf_sources.py,VERIFICACION_ACTUAL,PRESENTE
06_VERIFICACION/verify_package.py,VERIFICACION_ACTUAL,PRESENTE
AGENTS.md,DOCUMENTACION_DE_TRANSFERENCIA,PRESENTE
INDICE_MAESTRO.md,DOCUMENTACION_DE_TRANSFERENCIA,PRESENTE
INVENTARIO_ARCHIVOS.csv,DOCUMENTACION_DE_TRANSFERENCIA,PRESENTE
MANIFEST_SHA256.json,DOCUMENTACION_DE_TRANSFERENCIA,PRESENTE
PACKAGE_CHECK.json,DOCUMENTACION_DE_TRANSFERENCIA,PRESENTE
